Core ,Depth [cm],Age [ka],Time Interval,Benthic Foraminifera Interval,Fisher Alpha Index,Infaunals[%],Epibenthic[%],Trophic Conditions,Calcareous[%],Porcellaneous[%],Agglutinated[%],Stress Species[%],Oxic species [%],Suboxic species[%],Dysoxic species [%],Ehanced Benthic Foraminifera Oxygen Index,Inferred Dissolve Oxygen Concentration [mL/L],Oxygen Conditions,Mean d13C [o/oo],d18O sw [permil],Average Age [kyrs] Dd13C,Dd13C (9512-29JPC),Average Age [kyrs] BFDR,BFDR,Cibicidoides pachyderma,Planulina arimenensis,Cibicidoides robertsonianus,Lobatula lobatula,Bolivina cff. spathulata ,Uvigerina peregrina,Oridorsalis umbonatus,Nonionella turgida/pulchella,Bolivina subaenariensis var. mexicana,Uvigerina mediterranea,Melonis barleeanus ,Pullenia bulloides / quinqueloba,Cassidulina teretis/laevigata,Quinqueloculina spp.,Triloculina spp.,Pyrgo spp.,Pyrgoella sphaera,Cibicidoides spp.
GeoB9512-5,267.5,15.71,Bølling–Allerød,4c,13.7,64.7,35.3,Mesotrophic,79.3,20.3,0.4,53.9,31.8,45.3,22.9,44.2,3.2,High Oxic,0,0.73,,,15.68,7.14,2.1,6.2,5.4,0.4,0,1.2,5,18.3,9.1,1.2,0.4,0.4,2.1,5,7.1,2.1,0,14.10788382
GeoB9512-5,272.5,15.79,Heinrich Stadial 1c,4b,9.9,68.3,31.7,Eutrophic,84,16,0,59.7,29.1,32.7,38.2,32.9,2.7,Low Oxic,0.19,,15.8,-0.64,15.75,47.5,1.2,6.6,5.8,1.2,0.4,0,6.2,11.9,20.6,0,0,0,3.3,6.6,2.5,4.1,0,14.81481481
GeoB9512-5,277.5,15.89,Heinrich Stadial 1c,4b,8.2,79.8,20.2,Eutrophic,90.8,9.2,0,69.7,16.2,29.9,53.9,9.9,1.8,Low Oxic,0.39,,,,15.84,17,2.1,4.2,2.5,1.3,0.4,0.8,5,6.7,38.2,0,0,0,3.4,2.9,0.8,4.2,0,10.08403361
GeoB9512-5,282.5,15.98,Heinrich Stadial 1c,4b,8.1,84.9,15.1,Eutrophic,90.5,9.1,0.4,77,13,32.1,54.9,6,1.7,Low Oxic,0.43,,16,-0.52,15.94,1.11,2,3.2,0.8,0,0,0.8,4,16.7,42.1,0,0,0,1.6,0.8,0,6.3,0,5.952380952
GeoB9512-5,287.5,16.08,Heinrich Stadial 1c,4b,9.8,78.7,21.3,Eutrophic,92.8,6.8,0.4,66.7,19.9,39.8,40.3,21.9,2.3,Low Oxic,0.33,0.54,,,16.03,-17,8.4,3.2,2.4,0,0.4,0,6.4,14.1,24.9,0.8,0.8,0.4,4,1.2,0.8,4.4,0,14.0562249
GeoB9512-5,292.5,16.18,Heinrich Stadial 1c,4b,8.5,77.3,22.7,Eutrophic,86.6,13.4,0,71.7,20.4,39.6,40,23.2,2.3,Low Oxic,0.21,,16.19,-0.84,16.13,13,2.4,2.8,2.8,0,0.8,0,3.2,23.9,30.4,0.8,1.2,0,1.2,1.2,0,11.7,0,8.097165992
GeoB9512-5,297.5,16.27,Heinrich Stadial 1c,4b,11,71.9,28.2,Eutrophic,83.9,15,1.1,62.3,25.9,42.3,31.9,33.7,2.8,Low Oxic,0.2,0.82,,,16.23,-27.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.81
GeoB9512-5,302.5,16.36,Heinrich Stadial 1c,4a,13.5,66.4,33.6,Eutrophic,81.2,16.6,2.2,52.8,31.4,44.9,23.7,44.1,3.2,High Oxic,0.3,0.69,,,16.32,-27.78,9.2,2.2,1.7,0.4,2.6,0,7.9,7.9,8.7,2.2,2.2,0,8.7,10,1.7,3.1,0,13.5371179
GeoB9512-5,307.5,16.44,Heinrich Stadial 1c,4a,14.6,62.2,37.8,Mesotrophic,82.4,16.1,1.5,51.3,33.8,45.4,20.9,49.8,3.4,High Oxic,0.38,0.57,16.43,-0.76,16.4,-13.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.23
GeoB9512-5,312.5,16.52,Heinrich Stadial 1c,4a,15.7,58,42,Mesotrophic,83.5,15.6,0.8,49.8,36.1,45.8,18.1,55.4,3.6,High Oxic,0.38,0.51,,,16.48,-13.75,10.7,4.1,4.1,0,2.9,1.6,4.1,4.5,0.8,4.5,6.6,0.4,10.7,5.3,2.9,4.5,0.4,18.93004115
GeoB9512-5,317.5,16.59,Heinrich Stadial 1b,4a,15.4,56.2,43.9,Mesotrophic,82.2,16.5,1.3,48.5,37.1,46.7,16.2,61.3,3.9,High Oxic,0.35,0.49,,,16.56,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39
GeoB9512-5,322.5,16.67,Heinrich Stadial 1b,4a,15.1,54.3,45.7,Mesotrophic,80.9,17.4,1.8,47.2,38.1,47.6,14.3,67.2,4.2,High Oxic,0.34,0.5,16.66,-0.85,16.63,3.75,11.7,4.3,2.8,1.1,7.1,1.4,3.2,1.1,0,6,8.2,0.7,11.7,7.8,3.9,5,2.1,19.85815603
GeoB9512-5,327.5,16.75,Heinrich Stadial 1b,4a,13.1,51.7,48.4,Mesotrophic,79,20.2,0.9,47.5,41.5,46.9,11.6,72.7,4.5,High Oxic,0.35,0.51,,,16.71,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.37
GeoB9512-5,332.5,16.82,Heinrich Stadial 1a,4a,11.2,49,51,Mesotrophic,77.1,22.9,0,47.8,44.9,46.2,8.9,78.2,4.8,High Oxic,0.36,0.5,16.89,-0.9,16.79,27.14,17.1,2.4,3.7,1.6,6.1,3.7,0.8,2.4,0,7.8,6.1,0.4,9,11.4,1.2,4.1,2.4,24.89795918
GeoB9512-5,337.5,16.9,Heinrich Stadial 1a,4a,11.7,52.1,47.9,Mesotrophic,80.6,19,0.4,48.6,42.7,45.4,12,72,4.5,High Oxic,0.33,0.5,,,16.86,-6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.21
GeoB9512-5,342.5,16.97,Heinrich Stadial 1a,4a,12.2,55.2,44.8,Mesotrophic,84.1,15.1,0.8,49.4,40.5,44.5,15,65.8,4.1,High Oxic,0.3,0.55,,,16.94,-7.14,19.2,2.1,3.3,0.8,4.2,1.7,3.3,3.3,0,5,3.3,0.4,11.7,7.1,0.8,5,0.4,25.52301255
GeoB9512-5,347.5,17.05,Heinrich Stadial 1a,4a,10.8,61,39,Mesotrophic,85.5,13.7,0.8,56,31.6,50.2,18.2,49.9,3.4,High Oxic,0.29,0.67,17.07,-0.97,17.01,17.5,10,2.9,4.6,1.2,8.3,2.1,2.5,5.4,0,5,7.5,1.2,10.8,6.2,5,3.7,0,18.67219917
GeoB9512-5,352.5,17.12,Heinrich Stadial 1a,4a,12.1,73.9,26.1,Eutrophic,89.4,9.7,1,67.1,20.5,59,20.5,28.1,2.5,Low Oxic,0.29,0.76,,,17.09,-18.57,7.7,1.9,1.9,2.4,5.8,3.9,3.4,6.8,0,7.7,8.7,1.9,8.7,3.9,0.5,3.9,0,14.00966184
GeoB9512-5,357.5,17.19,Heinrich Stadial 1a,4a,10.7,52.4,47.6,Mesotrophic,81.3,17.1,1.6,46.3,43,43,14,71.7,4.4,High Oxic,0.29,0.77,,,17.16,20,17.5,0.4,6.5,1.6,4.1,4.1,2.4,0.8,0,12.2,5.3,0.4,4.9,9.8,0.8,4.9,0,26.01626016
GeoB9512-5,362.5,17.27,Heinrich Stadial 1a,4a,12.1,48.7,51.3,Mesotrophic,86.7,12.8,0.4,44.2,44.3,40.6,15.1,69.5,4.3,High Oxic,0.29,0.72,,,17.23,-17.5,25.7,0.9,3.5,1.3,2.7,4,1.8,1.3,0,8.8,3.1,0.4,7.5,6.6,0.4,4,0.9,31.4159292
GeoB9512-5,367.5,17.39,Heinrich Stadial 1a,4a,11.3,64.4,35.6,Mesotrophic,81.2,18,0.8,61.9,28.8,52.4,18.8,45.9,3.2,High Oxic,0.29,0.77,17.38,-0.99,17.33,6.67,5.9,1.3,2.1,0.8,5,3.3,1.7,6.3,0,16.7,2.5,0,9.6,9.6,1.3,5.9,1.3,11.71548117
GeoB9512-5,372.5,17.51,Heinrich Stadial 1a,4a,11.4,65.1,34.9,Mesotrophic,83.2,14.7,2.2,58.6,26.5,62.3,11.2,44,3.1,High Oxic,0.3,0.91,,,17.45,-0.83,6,2.2,3.9,3,4.3,3.4,1.3,0.9,0,24.1,9.1,0.9,7.3,6.9,0.4,6.5,0.4,15.51724138
GeoB9512-5,377.5,17.64,Heinrich Stadial 1a,4a,14.6,73.4,26.6,Eutrophic,89.3,10.2,0.4,68,20.4,63.9,15.7,33.6,2.7,Low Oxic,0.31,1,17.64,-0.99,17.58,-24.62,2.5,2,5.3,1.2,4.9,0.4,2.5,6.1,2,27,7.8,0.4,6.1,3.3,1.6,6.1,0.4,11.06557377
GeoB9512-5,382.5,17.77,Heinrich Stadial 1a,3,8,91.5,8.5,Eutrophic,96,3.3,0.6,89.7,5.3,92.1,2.5,12.8,1.9,Low Oxic,0.32,1.03,,,17.71,50.77,0.6,0.9,0.9,0,1.5,1.2,0,0.6,0,75.7,3.6,0.6,2.1,1.2,0.3,0.3,0.3,3.343465046
GeoB9512-5,387.5,17.89,Heinrich Stadial 1a,3,10.2,73.5,26.5,Eutrophic,85.5,13.3,1.2,71.1,22.2,72,5.9,41.9,3.1,High Oxic,0.33,1.04,17.89,-0.98,17.83,-18.33,7.2,0.8,1.2,0.4,4.4,5.2,0.4,0.8,0,43.4,4.4,0,6.8,5.2,1.2,4,2,10.04016064
GeoB9512-5,392.5,18.02,Heinrich Stadial 1a,3,11.5,84.8,15.2,Eutrophic,94.2,5.5,0.3,81.2,10,80.7,9.3,21.8,2.3,Low Oxic,0.36,1.04,,,17.96,-10,2.1,0.6,0.9,0.6,5.2,2.4,1.5,0.9,0,45.8,10,0.9,9.1,3.6,0.9,1.5,0,4.848484848
GeoB9512-5,397.5,18.16,Heinrich Stadial 1a,3,9.1,79.5,20.5,Eutrophic,91.8,7.5,0.7,77.2,15.6,76.7,7.6,30.9,2.6,Low Oxic,0.41,1.05,,,18.09,17.14,3.7,0.4,1.1,0,3,2.2,0.7,1.5,0,47.4,7.8,0,7.5,3,1.9,3.4,0,7.462686567
GeoB9512-5,402.5,18.28,Interstadial,3,8.5,86.8,13.2,Eutrophic,93.6,5.3,1.1,83.5,9.2,85.4,5.4,22.5,2.3,Low Oxic,0.48,1.09,,,18.22,5,2.8,0,0.8,0.3,4.2,1.7,1.1,0.8,0,57.7,9.8,0.3,5.6,2.2,1.4,1.1,0.3,3.921568627
GeoB9512-5,407.5,18.41,Interstadial,2,14.1,73,27,Eutrophic,82,11.9,6.1,63.9,20.5,63.6,15.9,32.5,2.7,Low Oxic,0.53,1.13,18.42,-0.79,18.35,-43.08,2,0,1.2,4.5,7.8,1.6,1.6,1.2,0.4,14.3,15.2,0.8,9.8,4.1,1.6,4.1,2.9,8.606557377
GeoB9512-5,412.5,18.56,Interstadial,2,12.3,72.9,27.1,Eutrophic,87.7,7.6,4.7,68.2,19.9,69.9,10.2,33.6,2.7,Low Oxic,0.54,1.05,18.61,-0.68,18.49,12,5.5,0.8,1.3,2.1,5.9,3.8,0.8,0,0,23.7,12.7,2.5,11,0,4.2,3,0.4,13.55932203
GeoB9512-5,417.5,18.86,Last Glacial Maximum,2,14.5,66.8,33.2,Eutrophic,81.9,12.1,6,58.6,23.7,61.4,15,36.7,2.8,Low Oxic,0.49,0.96,18.87,-0.64,18.71,-7.33,4.7,0.4,2.5,6.4,5.5,7.6,1.7,0.4,0.4,3.8,13.6,2.5,9.3,4.7,1.3,5.9,0.4,15.51724138
GeoB9512-5,422.5,19.26,Last Glacial Maximum,2,15.2,58.5,41.5,Mesotrophic,80.6,15.5,3.9,52.3,26.4,64.3,9.4,47.3,3.3,High Oxic,0.53,0.99,19.3,-0.74,19.06,-1.75,3.1,1.6,4.3,9.7,3.5,4.3,0.8,0.4,0,0.8,16.3,2.3,12.8,6.6,0.4,5,3.5,18.60465116
GeoB9512-5,427.5,19.68,Last Glacial Maximum,2,15,58.2,41.8,Mesotrophic,81.1,13.8,5.3,49.5,27.7,62.8,9.6,48.6,3.4,High Oxic,0.56,1.21,19.62,-0.75,19.47,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.11
GeoB9512-5,432.5,20.11,Last Glacial Maximum,2,14.7,57.9,42.1,Mesotrophic,81.5,12,6.6,46.7,28.9,61.3,9.8,49.9,3.4,High Oxic,0.52,1.54,20.06,-0.78,19.9,0.7,9.7,1.2,2.7,8.1,3.9,3.1,1.9,0,0.4,1.5,13.9,4.2,8.5,3.9,2.3,3.9,1.5,21.62162162
GeoB9512-5,437.5,20.51,Last Glacial Maximum,2,13.3,45.6,54.4,Mesotrophic,77.2,19.8,3,40.1,29.5,59.5,11,46.6,3.3,High Oxic,0.46,2.04,20.5,-0.83,20.31,3.5,1.7,1.7,3.8,7.6,2.1,2.5,2.1,0,0,0,8.9,5.5,3.8,5.5,2.1,4.2,5.1,14.76793249
GeoB9512-5,442.5,20.87,Last Glacial Maximum,2,11.3,48.5,51.5,Mesotrophic,74.5,23.8,1.7,46,31.6,58,10.4,55,3.6,High Oxic,0.55,,,,20.69,5.56,2.1,0.4,2.1,5,1.7,2.1,0,1.3,0,0.4,13,3.3,3.8,9.2,5.4,4.6,6.3,10.46025105
GeoB9512-5,447.5,21.25,Last Glacial Maximum,2,14.3,48.4,51.6,Mesotrophic,75.3,22.2,2.5,44.7,32.8,59.7,7.5,62.1,4,High Oxic,0.65,1.61,,,21.06,-7.89,1.5,1.1,5.1,0,2.5,1.8,0.7,1.5,0,0,8.7,1.5,11.6,8,2.2,6.2,5.1,9.818181818
GeoB9512-5,452.5,21.66,Last Glacial Maximum,2,16.2,53.5,46.5,Mesotrophic,83.7,12.7,3.7,43.7,29,59.9,11.1,48.3,3.3,High Oxic,0.26,1.49,,,21.46,-4.63,6.1,3.3,5.3,4.5,4.5,2.9,1.6,0.8,0.8,2,7.8,2.9,13.1,5.7,0.8,3.7,1.2,22.04081633
GeoB9512-5,457.5,22.09,Last Glacial Maximum,2,15,53.7,46.3,Mesotrophic,81.3,15.7,3,49.6,25.5,64.9,9.6,47.7,3.3,High Oxic,-0.15,1.26,22.12,-1.53,21.88,2.79,4.5,0.4,3.7,6.7,3.4,5.6,2.2,1.9,0,1.1,10.1,1.5,10.4,4.5,2.2,5.6,1.5,16.04477612
GeoB9512-5,462.5,22.51,Last Glacial Maximum,2,15.3,49.8,50.2,Mesotrophic,77.3,19.2,3.5,45.5,31.3,57.9,10.7,54.6,3.6,High Oxic,-0.04,1.01,22.56,-1.46,22.3,-0.71,6.7,2,4.7,7.1,3.1,5.5,0.8,0.4,0,1.2,7.8,1.2,10.6,4.7,3.5,4.7,3.5,20.39215686
GeoB9512-5,467.5,22.91,Last Glacial Maximum,2,15.4,58.6,41.5,Mesotrophic,80.8,16.1,3.2,53.4,28.7,58.3,13.1,48.7,3.4,High Oxic,0.24,,22.99,-1.18,22.71,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.46
GeoB9512-5,472.5,23.25,pre-Last Glacial Maximum,2,15.5,67.3,32.7,Eutrophic,84.3,12.9,2.8,61.3,26,58.6,15.4,42.7,3.1,High Oxic,0.38,0.68,,,23.08,-0.29,6.9,1.2,2,5.2,6.5,2.8,2.4,5.6,0.4,0.8,7.3,3.6,6.9,5.2,1.2,6.5,0.4,16.53225806
GeoB9512-5,477.5,23.5,pre-Last Glacial Maximum,2,11.7,50,50,Mesotrophic,75,21.9,3.1,42.4,37.9,50.4,11.7,70.6,4.4,High Oxic,0.49,0.9,23.49,-0.79,23.38,15.2,9.4,1,4.5,5.6,5.2,3.8,2.8,4.2,0,3.1,4.2,2.1,7.3,2.4,8.3,4.5,4.5,20.48611111
GeoB9512-5,482.5,23.76,pre-Last Glacial Maximum,2,17.6,54.9,45.1,Mesotrophic,80.3,16.5,3.2,46.5,37.1,48.4,14.5,64.7,4.1,High Oxic,0.52,1.07,,,23.63,-22.69,10.9,1.4,6,6.7,5.6,4.9,1.4,5.6,0,2.5,4.9,2.1,2.8,3.5,1.4,6.3,2.8,25.35211268
GeoB9512-5,487.5,24.01,pre-Last Glacial Maximum,1,14.4,50.6,49.4,Mesotrophic,83,13.8,3.2,45.8,37.1,54.1,8.7,64.5,4.1,High Oxic,0.5,1.14,23.95,-0.71,23.89,12.8,15.8,2.4,5.1,3.2,4.7,2.4,2,2.8,0,4,7.5,1.6,11.1,3.2,3.6,2,2,27.27272727
GeoB9512-5,492.5,24.26,Heinrich Stadial 2,1,16,59.2,40.8,Mesotrophic,85.2,11.6,3.2,52,34.8,49.1,16.1,56.9,3.7,High Oxic,0.45,1.16,24.27,-0.78,24.14,-6.4,16.8,0,3.2,3.6,6.4,3.6,0.8,3.2,0,2,4.8,1.2,12.4,2.8,1.2,4,2,29.39
GeoB9512-5,497.5,24.53,Heinrich Stadial 2,1,12.8,47.5,52.5,Mesotrophic,84.9,14.3,0.8,41.6,40.9,38.7,20.4,63.7,4,High Oxic,0.35,1.15,24.61,-0.92,24.4,11.85,6.7,0.8,16.4,5.5,5.5,1.3,2.5,5.9,0,1.7,2.9,2.5,0,7.1,0.8,5,1.3,31.51260504
GeoB9512-5,502.5,24.79,Heinrich Stadial 2,1,8.8,72.7,27.3,Eutrophic,85.1,14.9,0,68.5,22.3,55.5,22.3,38.7,2.9,Low Oxic,0.23,,,,24.66,15.38,2.1,1,3.1,3.8,3.8,0.7,1.7,17.3,0,0,0.3,0.3,24.9,5.2,0,9.7,0,11.07266436
GeoB9512-5,507.5,25.05,Heinrich Stadial 2,1,14.2,77.6,22.4,Eutrophic,91.5,6.7,1.8,70.4,15.3,70,14.8,22.9,2.3,Low Oxic,0.08,,25.09,-1.22,24.92,-20.77,4,1.8,2.7,2.2,4.9,7.6,1.3,13,0,0,4,0.4,26.9,0.9,1.8,3.1,0,11.65919283
GeoB9512-5,512.5,25.314,Heinrich Stadial 2,1,11.8,68.5,31.5,Eutrophic,76.5,23.5,0,60.5,27.3,62.1,10.6,43.1,3.1,High Oxic,,,,,25.18,9.09,2,0,2,2.5,2,1,3.5,16.5,0,0,0,0.5,27.5,11,0,11,0,6.5
GeoB9512-5,517.5,25.57,Heinrich Stadial 2,1,16.2,68.3,31.7,Eutrophic,80.9,16.5,2.6,57.4,26.2,53.4,20.4,38,2.9,Low Oxic,-0.03,,25.58,-1.32,25.44,-17.19,4.3,0,1.3,1.3,3.9,0.9,3.9,7.4,0,0,2.2,0.9,20,7.4,2.6,4.3,0.9,9.130434783
GeoB9512-5,522.5,25.84,Heinrich Stadial 2,1,14,64,36,Mesotrophic,79.8,14.2,6.1,56.7,26.5,56.6,16.9,41.7,3,High Oxic,0.13,0.86,,,25.71,8.15,4.9,0.8,2.8,3.2,10.9,9.3,2,0,0,0,6.1,0.8,18.2,5.3,3.2,1.6,3.2,14.17004049
GeoB9512-5,527.5,26.1,pre-Last Glacial Maximum,1,13.6,64,36,Mesotrophic,77.8,14.9,7.5,54.7,29.1,55,16,45.6,3.2,High Oxic,0.34,0.93,26.07,-0.93,25.97,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.82
GeoB9512-5,532.5,26.36,pre-Last Glacial Maximum,1,13.2,64,36,Mesotrophic,75.7,15.5,8.8,52.7,31.6,53.3,15.1,49.5,3.4,High Oxic,0.48,0.98,26.41,-0.77,26.23,1.54,8.4,0.4,1.7,1.7,9.2,11.7,1.3,0,0,0,6.7,0.4,17.6,6.3,2.1,3.8,2.1,15.48117155
GeoB9512-5,537.5,26.6,pre-Last Glacial Maximum,1,13.9,62.8,37.2,Mesotrophic,83.6,12.8,3.6,54.4,31.3,57.3,11.5,53.2,3.6,High Oxic,0.54,0.94,,,26.48,-2.92,12.8,0.8,1.6,4,3.2,6.8,2.4,0.4,0,5.6,7.2,0.8,17.2,3.6,1.2,4,2.4,22
GeoB9512-5,542.5,26.85,pre-Last Glacial Maximum,1,13.3,59,41,Mesotrophic,83.7,11.7,4.7,51.7,29.6,52.7,17.7,54.8,3.6,High Oxic,0.55,0.86,26.88,-0.69,26.73,2.4,10.3,0.3,4.3,2,7.7,4,1.3,0.7,0.7,1.3,9.3,3,13,5.3,0,3,0.7,17.66666667
GeoB9512-5,547.5,27.08,pre-Last Glacial Maximum,1,19,52.9,47.1,Mesotrophic,82.5,11.7,5.8,41.6,35.4,48.3,16.3,59.6,3.8,High Oxic,0.54,0.86,,,26.97,-24.78,14.2,2.9,4.4,2.6,4.7,1.8,2.2,1.1,0,4,2.2,2.6,10.6,4,1.1,5.5,0,25.91240876
