Event,Deth (cm),Age [ka],231Pa/230Th,2 SD %,2 SD
B1H2W,70,15.24,0.08,5.76%,0.004608
B1H2W,90,16.33,0.091,4.06%,0.003695
B1H2W,110,17.07,0.089,1.93%,0.001718
B1H2W,130,17.3,0.074,5.36%,0.003966
B1H3W,5,17.62,0.075,5.73%,0.004298
B1H3W,20,17.84,0.076,6.67%,0.005069
B1H3W,40,18.12,0.059,6.31%,0.003723
B1H3W,60,18.39,0.066,8.45%,0.005577
B1H3W,80,18.6,0.067,5.04%,0.003377
B1H3W,100,18.83,0.076,7.43%,0.005647
B1H3W,120,19.16,0.065,5.35%,0.003478
B1H3W,140,19.43,0.071,6.45%,0.004580
B1H4W,10,19.66,0.064,7.45%,0.004768
B1H4W,30,19.89,0.073,6.34%,0.004628
B1H4W,50,20.12,0.065,6.93%,0.004505
B1H4W,70,20.26,0.064,6.82%,0.004365
B1H4W,90,20.39,0.063,6.57%,0.004139
B1H4W,110,20.52,0.069,4.75%,0.003278
B1H4W,130,20.65,0.062,6.81%,0.004222
B1H5W,40,21.06,0.062,7.20%,0.004464
B1H5W,100,21.61,0.062,5.11%,0.003168
D2H3W,110,22.21,0.061,7.54%,0.004599
D2H4W,20,22.94,0.068,6.07%,0.004128
D2H4W,80,23.53,0.064,10.59%,0.006778
D2H4W,140,23.95,0.066,8.09%,0.005339
D2H5W,24,24.2,0.061,11.31%,0.006899
D2H5W,40,24.39,0.087,7.73%,0.006725
D2H5W,56,24.6,0.081,7.76%,0.006286
D2H5W,74,24.79,0.093,7.46%,0.006938
D2H5W,90,25,0.074,4.89%,0.003619
D2H5W,107,25.21,0.074,8.17%,0.006046
D2H5W,124,25.4,0.069,5.65%,0.003899
D2H5W,140,25.6,0.076,8.23%,0.006255
D2H6W,6,25.77,0.076,7.27%,0.005525
D2H6W,24,25.94,0.088,7.41%,0.006521
D2H6W,40,26.11,0.078,7.83%,0.006107
D2H6W,56,26.29,0.087,7.54%,0.006560
D2H6W,74,26.43,0.08,7.26%,0.005808
D2H6W,109,26.73,0.081,10.75%,0.008708
D2H6W,124,26.89,0.068,4.49%,0.003053
D2H6W,140,27.14,0.06,11.30%,0.006780
D2H7W,6,27.37,0.072,5.29%,0.003809
D2H7W,35,27.83,0.063,4.84%,0.003049
D2H7W,54,28.07,0.064,6.04%,0.003866
D3H2W,9,28.7,0.064,4.82%,0.003085
D3H2W,56,29.44,0.062,8.28%,0.005134
D3H2W,105,30.64,0.073,4.85%,0.003541
D3H2W,121,31.1,0.067,4.58%,0.003069
D3H3W,6,32.22,0.063,4.67%,0.002942
D3H3W,40,33.52,0.059,6.54%,0.003859
D3H3W,70,34.86,0.072,6.71%,0.004831
D3H3W,130,35.5,0.067,5.68%,0.003806
D3H4W,10,36.3,0.077,5.81%,0.004474
D3H4W,40,37.2,0.066,6.00%,0.003960
D3H4W,70,38.1,0.06,6.70%,0.004020
D3H4W,100,38.9,0.082,5.79%,0.004748
D3H4W,130,39.7,0.075,6.03%,0.004523
D3H5W,70,41.8,0.072,0.93%,0.000670
D3H5W,130,43.8,0.072,6.08%,0.004378
D3H6W,10,45,0.066,5.96%,0.003934
D3H6W,40,46.3,0.056,6.25%,0.003500
D3H6W,70,47.2,0.062,7.41%,0.004594
C3H5W,40,50.4,0.064,5.99%,0.003834
C3H5W,70,52,0.058,5.91%,0.003428
C3H5W,100,53.7,0.053,1.24%,0.000657
C3H5W,130,55,0.067,6.51%,0.004362
C3H6W,10,55.8,0.063,6.32%,0.003982
C3H6W,65,57.7,0.06,6.26%,0.003756
D4H1W,34,60.8,0.081,1.30%,0.001053
D4H1W,89,62.6,0.083,6.69%,0.005553
C4H1W,15,62.9,0.069,8.57%,0.005913
C4H1W,55,64.1,0.061,9.87%,0.006021
D4H2W,9,64.5,0.074,9.67%,0.007156
D4H2W,39,65.2,0.066,9.91%,0.006541
C4H2W,25,66.8,0.06,13.35%,0.008010
C4H2W,65,67.7,0.065,12.12%,0.007878
D4H3W,59,69.1,0.06,10.95%,0.006570
C4H3W,35,70.5,0.062,10.29%,0.006380
C4H3W,75,71.4,0.067,6.44%,0.004315
C4H3W,115,72.7,0.073,3.63%,0.002650
C4H4W,5,74.3,0.057,6.19%,0.003528
D4H4W,99,74.7,0.053,12.60%,0.006678
C4H4W,45,76.2,0.057,9.73%,0.005546
D4H4W,134,76.5,0.066,6.28%,0.004145
D4H5W,9,78,0.057,6.01%,0.003426
C4H4W,95,79.2,0.056,5.10%,0.002856
C4H4W,100,79.5,0.056,9.89%,0.005538
C4H4W,120,80.7,0.052,8.77%,0.004560
C4H4W,135,81.6,0.053,5.11%,0.002708
C4H4W,140,81.9,0.06,9.20%,0.005520
C4H5W,5,82.8,0.051,9.74%,0.004967
C4H5W,20,83.7,0.052,11.25%,0.005850
C4H5W,25,84,0.05,10.76%,0.005380
C4H5W,35,84.6,0.057,2.64%,0.001505
C4H5W,40,84.9,0.055,10.98%,0.006039
C4H5W,50,85.4,0.063,10.05%,0.006332
C4H5W,55,85.6,0.054,10.40%,0.005616
C4H5W,60,85.9,0.054,12.48%,0.006739
C4H5W,65,86.1,0.061,9.10%,0.005551
C4H5W,75,86.43,0.057,5.11%,0.002913
C4H5W,83,87,0.055,8.79%,0.004835
C4H5W,95,87.5,0.057,4.44%,0.002531
C4H5W,105,87.7,0.06,6.79%,0.004074
C4H5W,115,87.9,0.058,7.48%,0.004338
C4H5W,120,88,0.048,13.67%,0.006562
C4H6W,5,88.8,0.062,8.35%,0.005177
C4H6A,18,89.1,0.053,3.05%,0.001617
C4H6A,30,89.4,0.05,7.74%,0.003870
C4H6W,45,89.7,0.045,4.67%,0.002102
C4H6A,55,89.9,0.047,8.62%,0.004051
C4H6A,65,90.1,0.054,2.73%,0.001474
C4H6W,75,90.5,0.071,27.78%,0.019724
C4H6A,85,91.9,0.061,3.82%,0.002330
C4H6A,95,93.4,0.056,6.96%,0.003898
C4H6A,105,94.9,0.054,3.89%,0.002101
C4H6W,115,96.3,0.055,7.08%,0.003894
C4H6A,125,97.8,0.06,6.48%,0.003888
C4H6A,135,99.2,0.051,6.55%,0.003341
C4H6A,145,100.7,0.055,6.43%,0.003537
D5H1W,12,102.6,0.055,4.02%,0.002211
D5H1W,20,103.1,0.052,3.97%,0.002064
D5H1W,30,103.3,0.056,7.18%,0.004021
D5H1W,40,103.6,0.06,7.03%,0.004218
D5H1W,53,103.9,0.056,8.49%,0.004754
D5H1W,60,104.1,0.057,4.67%,0.002662
D5H1W,69,104.3,0.049,6.24%,0.003058
D5H1W,80,104.6,0.052,9.38%,0.004878
D5H1W,93,105.7,0.067,6.36%,0.004261
D5H1W,100,106.3,0.068,9.55%,0.006494
D5H1W,110,107.2,0.058,7.49%,0.004344
D5H1W,120,108.1,0.053,4.85%,0.002571
D5H1W,133,109.8,0.061,9.05%,0.005521
D5H1W,140,110.8,0.058,3.86%,0.002239
D5H2W,5,111.8,0.048,7.44%,0.003571
D5H2W,15,112.3,0.054,9.27%,0.005006
D5H2W,22,112.7,0.057,5.00%,0.002850
D5H2W,33,113.3,0.05,3.84%,0.001920
D5H2W,47,114.1,0.066,11.65%,0.007689
D5H2W,54,114.5,0.054,6.84%,0.003694
D5H2W,60,114.8,0.044,9.80%,0.004312
D5H2W,68,115.3,0.051,5.01%,0.002555
D5H2W,78,115.8,0.058,9.76%,0.005661
D5H2W,85,117.1,0.053,4.55%,0.002412
D5H2W,94.5,119.3,0.054,4.67%,0.002522
D5H2W,104,121.4,0.053,2.04%,0.001081
D5H2W,110,122.8,0.061,2.55%,0.001556
D5H2W,120,125.1,0.052,4.20%,0.002184
D5H2W,130,126.1,0.052,9.14%,0.004753
D5H2W,140,126.6,0.058,9.58%,0.005556
D5H3W,5,127.3,0.061,10.00%,0.006100
D5H3W,18,128,0.039,24.25%,0.009458
D5H3W,58,130.6229508,0.067,7.37%,0.004938
D5H3W,79,132,0.091,14.91%,0.013568
D5H3W,98,132.2108768,0.1,19.08%,0.019080
D5H3W,118,132.4328524,0.076,18.34%,0.013938
D5H3W,139,132.6659267,0.081,28.29%,0.022915
D5H4W,5,132.8435072,0.09,20.51%,0.018459
D5H4W,60,133.6991759,0.086,25.29%,0.021749
D5H4W,110,134.9757716,0.053,26.68%,0.014140
D5H4W,131,135.4225801,0.062,24.60%,0.015252
