Age [yr BP],NGRIP Depth [m],NGRIP d18O [o/oo]
28120,1874.69,-43.77
28140,1874.97,-43.94
28160,1875.29,-43.08
28180,1875.58,-46.28
28200,1875.9,-43.68
28220,1876.19,-43.65
28240,1876.5,-44.78
28260,1876.84,-44.58
28280,1877.13,-44.91
28300,1877.47,-43.64
28320,1877.79,-42.04
28340,1878.1,-45.54
28360,1878.44,-44.62
28380,1878.75,-42.71
28400,1879.09,-44.9
28420,1879.38,-42.91
28440,1879.75,-43.38
28460,1880.12,-44.1
28480,1880.45,-44.35
28500,1880.75,-45.03
28520,1881.1,-43.34
28540,1881.49,-42.38
28560,1881.84,-43.96
28580,1882.19,-43.12
28600,1882.62,-42.98
28620,1883.1,-40.88
28640,1883.62,-40.77
28660,1884.17,-40.52
28680,1884.75,-40.21
28700,1885.38,-40.17
28720,1885.91,-41.1
28740,1886.57,-40.14
28760,1887.16,-40.78
28780,1887.77,-40.49
28800,1888.47,-38.62
28820,1889.11,-39.1
28840,1889.79,-39.6
28860,1890.48,-40.05
28880,1891.07,-40.01
28900,1891.57,-42.08
28920,1891.96,-43.87
28940,1892.31,-43.58
28960,1892.65,-43.1
28980,1892.95,-43.32
29000,1893.28,-45.38
29020,1893.6,-44.58
29040,1893.92,-44
29060,1894.23,-43.34
29080,1894.52,-43.85
29100,1894.79,-45.15
29120,1895.08,-43.98
29140,1895.35,-44.89
29160,1895.64,-42.89
29180,1895.93,-43.79
29200,1896.2,-45.31
29220,1896.5,-43.82
29240,1896.78,-42.86
29260,1897.05,-45.81
29280,1897.32,-44.05
29300,1897.63,-43.67
29320,1897.89,-44.52
29340,1898.2,-42.8
29360,1898.48,-44.88
29380,1898.78,-43.81
29400,1899.08,-43.22
29420,1899.35,-43.34
29440,1899.61,-43.94
29460,1899.9,-45.35
29480,1900.16,-44.63
29500,1900.4,-43.92
29520,1900.64,-46.36
29540,1900.91,-44.45
29560,1901.16,-44.09
29580,1901.46,-44.61
29600,1901.78,-45.84
29620,1902.06,-46.22
29640,1902.34,-44.46
29660,1902.6,-43.01
29680,1902.87,-44.9
29700,1903.16,-46.45
29720,1903.42,-44.21
29740,1903.67,-46.14
29760,1903.98,-44.54
29780,1904.27,-44.42
29800,1904.57,-43.57
29820,1904.85,-44.05
29840,1905.12,-45.18
29860,1905.42,-44.54
29880,1905.74,-43.74
29900,1906.01,-44.68
29920,1906.28,-44.48
29940,1906.58,-43.72
29960,1906.89,-44.63
29980,1907.22,-44.08
30000,1907.54,-42.98
30020,1907.8,-43.67
30040,1908.09,-45.52
30060,1908.37,-45.7
30080,1908.67,-43.85
30100,1908.95,-44.95
30120,1909.22,-46.25
30140,1909.5,-44.21
30160,1909.77,-45.03
30180,1910.09,-44.59
30200,1910.36,-43.06
30220,1910.63,-45.43
30240,1910.92,-44.55
30260,1911.19,-44.65
30280,1911.46,-45.24
30300,1911.72,-44.76
30320,1912.04,-44.87
30340,1912.33,-43.49
30360,1912.6,-44.28
30380,1912.87,-42.29
30400,1913.19,-43.97
30420,1913.44,-44.73
30440,1913.69,-44.93
30460,1913.92,-45.24
30480,1914.17,-44.77
30500,1914.48,-43.95
30520,1914.78,-43.47
30540,1915.13,-43.49
30560,1915.41,-44.21
30580,1915.75,-42.71
30600,1916.08,-44.22
30620,1916.43,-43.29
30640,1916.77,-43.8
30660,1917.12,-41.58
30680,1917.45,-42.44
30700,1917.81,-43.39
30720,1918.23,-42.22
30740,1918.67,-42.69
30760,1919.11,-42.05
30780,1919.47,-42.01
30800,1919.83,-44.03
30820,1920.21,-45.08
30840,1920.56,-42.83
30860,1920.91,-43.9
30880,1921.27,-42.45
30900,1921.61,-43.19
30920,1921.94,-43.76
30940,1922.22,-44.79
30960,1922.53,-45.37
30980,1922.87,-43.42
31000,1923.16,-44.4
31020,1923.46,-42.99
31040,1923.78,-44.97
31060,1924.13,-41.75
31080,1924.46,-44.27
31100,1924.78,-44.2
31120,1925.11,-44.13
31140,1925.45,-43.08
31160,1925.78,-43.57
31180,1926.08,-42.73
31200,1926.36,-45.16
31220,1926.63,-43.7
31240,1926.96,-44.25
31260,1927.32,-44.18
31280,1927.64,-43.7
31300,1927.94,-43.97
31320,1928.25,-42.79
31340,1928.56,-43.63
31360,1928.83,-43.67
31380,1929.15,-44.36
31400,1929.45,-45.2
31420,1929.77,-43.57
31440,1930.07,-43.09
31460,1930.35,-44.57
31480,1930.66,-41.65
31500,1930.96,-43.28
31520,1931.24,-45.39
31540,1931.55,-43.86
31560,1931.85,-43.37
31580,1932.15,-44.74
31600,1932.51,-43.33
31620,1932.83,-43.98
31640,1933.15,-44.19
31660,1933.48,-43.69
31680,1933.8,-44.29
31700,1934.11,-43.64
31720,1934.47,-43.2
31740,1934.8,-42.67
31760,1935.12,-43.16
31780,1935.46,-45.06
31800,1935.79,-43.26
31820,1936.11,-43.37
31840,1936.42,-43.5
31860,1936.74,-45.22
31880,1937.04,-42.81
31900,1937.36,-44.89
31920,1937.65,-42.76
31940,1937.97,-44.23
31960,1938.28,-43.48
31980,1938.6,-44.16
32000,1938.95,-42.54
32020,1939.32,-44.45
32040,1939.68,-43.87
32060,1940.03,-41.4
32080,1940.48,-41.72
32100,1940.9,-41.23
32120,1941.39,-42.79
32140,1941.84,-40.5
32160,1942.31,-41.06
32180,1942.82,-40.69
32200,1943.31,-40.85
32220,1943.82,-40.59
32240,1944.26,-39.86
32260,1944.73,-40.34
32280,1945.23,-40.7
32300,1945.83,-40.51
32320,1946.41,-40.7
32340,1946.96,-40.42
32360,1947.49,-40.44
32380,1948.01,-39.83
32400,1948.59,-39.04
32420,1949.2,-40.38
32440,1949.79,-39.61
32460,1950.41,-38.81
32480,1951.02,-38.91
32500,1951.65,-40.14
32520,1952.12,-42.38
32540,1952.45,-43.82
32560,1952.71,-43.57
32580,1953,-44.14
32600,1953.27,-43.77
32620,1953.58,-43.67
32640,1953.92,-43.3
32660,1954.26,-44.81
32680,1954.58,-43.29
32700,1954.82,-45.77
32720,1955.1,-44.61
32740,1955.38,-44.58
32760,1955.67,-43.09
32780,1955.96,-43.42
32800,1956.25,-45.03
32820,1956.53,-45.25
32840,1956.82,-44.84
32860,1957.11,-44.81
32880,1957.42,-45.78
32900,1957.72,-44.23
32920,1958.02,-44.07
32940,1958.28,-43.85
32960,1958.57,-42.07
32980,1958.85,-42.72
33000,1959.16,-44.33
33020,1959.46,-43.76
33040,1959.76,-43.83
33060,1960.01,-42.67
33080,1960.25,-43.84
33100,1960.55,-44.33
33120,1960.82,-44.15
33140,1961.07,-44.25
33160,1961.35,-43.29
33180,1961.65,-42.87
33200,1961.91,-42.7
33220,1962.23,-43.14
33240,1962.49,-44.7
33260,1962.76,-43.02
33280,1963.03,-43.44
33300,1963.32,-43.61
33320,1963.61,-45.89
33340,1963.95,-43.29
33360,1964.3,-43.35
33380,1964.62,-41.9
33400,1965.14,-41.15
33420,1965.64,-41.56
33440,1966.18,-40.98
33460,1966.73,-39.74
33480,1967.27,-40.08
33500,1967.79,-39.61
33520,1968.38,-40.44
33540,1968.97,-40.32
33560,1969.54,-38.92
33580,1970.1,-39.98
33600,1970.7,-39.96
33620,1971.23,-39.7
33640,1971.75,-39.91
33660,1972.32,-40.07
33680,1972.97,-38.59
33700,1973.59,-39.06
33720,1974.16,-39.83
33740,1974.55,-40.52
33760,1974.91,-41.82
33780,1975.29,-41.98
33800,1975.62,-42.06
33820,1975.97,-42.39
33840,1976.34,-42.4
33860,1976.65,-42.16
33880,1977,-44.12
33900,1977.33,-41.36
33920,1977.65,-43.39
33940,1977.99,-42.95
33960,1978.28,-42.82
33980,1978.58,-44.86
34000,1978.9,-42.81
34020,1979.21,-43.39
34040,1979.53,-42.27
34060,1979.86,-42.68
34080,1980.14,-43.05
34100,1980.42,-42.22
34120,1980.7,-43.3
34140,1981.02,-43.07
34160,1981.33,-42.13
34180,1981.63,-42.34
34200,1981.91,-43.38
34220,1982.21,-43.15
34240,1982.55,-41.84
34260,1982.85,-42.67
34280,1983.13,-42.3
34300,1983.48,-43.47
34320,1983.78,-44.04
34340,1984.08,-43.38
34360,1984.38,-42.35
34380,1984.69,-42.41
34400,1984.99,-44.39
34420,1985.31,-42.63
34440,1985.64,-43.15
34460,1986,-42.33
34480,1986.32,-41.98
34500,1986.56,-43.23
34520,1986.87,-42.7
34540,1987.14,-43.39
34560,1987.43,-43.95
34580,1987.71,-42.59
34600,1988,-43.1
34620,1988.31,-43.92
34640,1988.61,-43.51
34660,1988.88,-41.78
34680,1989.26,-41.32
34700,1989.58,-42.26
34720,1989.94,-43.09
34740,1990.28,-44.35
34760,1990.74,-40.9
34780,1991.25,-40.22
34800,1991.75,-39.35
34820,1992.28,-40.4
34840,1992.79,-40.99
34860,1993.3,-40.21
34880,1993.79,-40.35
34900,1994.21,-41.16
34920,1994.67,-40.45
34940,1995.19,-41.79
34960,1995.66,-40.08
34980,1996.15,-41.3
35000,1996.54,-41.06
35020,1997.04,-41.15
35040,1997.52,-40.04
35060,1998.06,-39.72
35080,1998.5,-39.08
35100,1999.04,-39.52
35120,1999.58,-40.02
35140,2000.08,-40.36
35160,2000.63,-39.75
35180,2001.14,-39.31
35200,2001.7,-40.11
35220,2002.23,-40.46
35240,2002.75,-38.74
35260,2003.34,-39.64
35280,2003.89,-39.32
35300,2004.43,-39.82
35320,2005,-39.21
35340,2005.55,-39.61
35360,2006.09,-38.48
35380,2006.65,-38.81
35400,2007.16,-39.45
35420,2007.75,-38.8
35440,2008.32,-38.25
35460,2008.88,-39.18
35480,2009.44,-39.46
35500,2009.93,-40.96
35520,2010.33,-42.74
35540,2010.7,-42.95
35560,2011.04,-44.65
35580,2011.36,-40.86
35600,2011.65,-43.18
35620,2011.94,-42.78
35640,2012.23,-42.88
35660,2012.49,-41.54
35680,2012.82,-42.92
35700,2013.11,-42.91
35720,2013.43,-41.75
35740,2013.71,-41.57
35760,2014.03,-41.3
35780,2014.28,-44.02
35800,2014.58,-43.05
35820,2014.88,-43.14
35840,2015.18,-44.11
35860,2015.47,-44.88
35880,2015.75,-44.37
35900,2016.04,-44.75
35920,2016.33,-43.88
35940,2016.6,-44.02
35960,2016.91,-41.76
35980,2017.22,-43.07
36000,2017.51,-42.45
36020,2017.8,-43.33
36040,2018.1,-43.34
36060,2018.37,-43.63
36080,2018.69,-43.2
36100,2018.98,-43.09
36120,2019.27,-43.11
36140,2019.55,-42.56
36160,2019.82,-43.05
36180,2020.11,-42.43
36200,2020.42,-40.64
36220,2020.7,-43.78
36240,2021,-42.71
36260,2021.32,-43.12
36280,2021.63,-43.18
36300,2021.94,-44.56
36320,2022.25,-42.31
36340,2022.54,-43.35
36360,2022.85,-41.17
36380,2023.16,-41.89
36400,2023.5,-42.49
36420,2023.83,-43.57
36440,2024.15,-41.99
36460,2024.53,-43.74
36480,2024.97,-41.83
36500,2025.35,-41.87
36520,2025.71,-41.4
36540,2026.02,-43.4
36560,2026.33,-43
36580,2026.66,-43.04
36600,2027.03,-42.38
36620,2027.43,-41.52
36640,2027.78,-41.92
36660,2028.17,-39.88
36680,2028.6,-40.22
36700,2029.03,-41.79
36720,2029.47,-41.09
36740,2029.9,-40.73
36760,2030.34,-41.32
36780,2030.75,-41.36
36800,2031.2,-41.23
36820,2031.65,-41.37
36840,2032.15,-39.93
36860,2032.67,-41.13
36880,2033.18,-41.21
36900,2033.57,-41.19
36920,2033.93,-41.51
36940,2034.33,-41.47
36960,2034.74,-42.16
36980,2035.18,-41.18
37000,2035.62,-41.03
37020,2036.05,-40.84
37040,2036.52,-41.21
37060,2036.96,-41.45
37080,2037.39,-40.73
37100,2037.8,-40.78
37120,2038.23,-41.31
37140,2038.66,-40.04
37160,2039.16,-40.52
37180,2039.68,-40.26
37200,2040.22,-39.92
37220,2040.77,-39.47
37240,2041.31,-39.69
37260,2041.83,-39.35
37280,2042.36,-40.4
37300,2042.92,-39.95
37320,2043.46,-39.39
37340,2044.01,-38.89
37360,2044.54,-39.43
37380,2045.05,-40.84
37400,2045.54,-40.19
37420,2046.08,-40.76
37440,2046.67,-39.03
37460,2047.21,-39.16
37480,2047.79,-38.75
37500,2048.37,-38.55
37520,2048.97,-39.31
37540,2049.53,-39.96
37560,2050.11,-38.6
37580,2050.66,-38.63
37600,2051.29,-38.5
37620,2051.89,-39.6
37640,2052.44,-39.04
37660,2053.04,-38.7
37680,2053.65,-39.19
37700,2054.25,-38.56
37720,2054.86,-38.73
37740,2055.39,-39.29
37760,2055.97,-38.75
37780,2056.53,-39.11
37800,2057.08,-38.89
37820,2057.7,-39.04
37840,2058.28,-39.37
37860,2058.86,-38.75
37880,2059.44,-39.66
37900,2060.05,-39.17
37920,2060.71,-38.92
37940,2061.26,-39.18
37960,2061.84,-38.97
37980,2062.49,-38.13
38000,2063.13,-39.07
38020,2063.68,-38.88
38040,2064.33,-38.16
38060,2064.99,-38.75
38080,2065.63,-39.01
38100,2066.22,-38.67
38120,2066.9,-38.21
38140,2067.6,-37.87
38160,2068.25,-38.22
38180,2068.9,-38.53
38200,2069.5,-37.58
38220,2070.02,-39.55
38240,2070.4,-42.16
38260,2070.71,-41.77
38280,2071.02,-42.12
38300,2071.33,-42.1
38320,2071.7,-42.05
38340,2072.04,-42.62
38360,2072.39,-43.3
38380,2072.7,-43.48
38400,2072.99,-41.51
38420,2073.28,-43.54
38440,2073.59,-39.9
38460,2073.92,-41.88
38480,2074.17,-43.58
38500,2074.52,-41.92
38520,2074.82,-41.41
38540,2075.11,-44.24
38560,2075.39,-43
38580,2075.73,-43.1
38600,2076.04,-41.8
38620,2076.3,-44.31
38640,2076.59,-42.12
38660,2076.91,-42.77
38680,2077.2,-42.74
38700,2077.49,-43.76
38720,2077.77,-44.41
38740,2078.08,-42.34
38760,2078.39,-43.42
38780,2078.7,-42.78
38800,2079.03,-44.18
38820,2079.3,-43.23
38840,2079.64,-43.39
38860,2079.88,-43.54
38880,2080.19,-42.41
38900,2080.47,-41.67
38920,2080.75,-42.86
38940,2081.07,-43.23
38960,2081.42,-41.34
38980,2081.76,-42.51
39000,2082.05,-41.68
39020,2082.36,-43.85
39040,2082.69,-44.43
39060,2082.97,-45.16
39080,2083.24,-42.13
39100,2083.51,-43.08
39120,2083.8,-44.58
39140,2084.05,-43.24
39160,2084.36,-43.68
39180,2084.66,-43.45
39200,2084.96,-42.28
39220,2085.23,-43
39240,2085.52,-44.15
39260,2085.83,-43.43
39280,2086.09,-44.21
39300,2086.37,-43.4
39320,2086.65,-42.61
39340,2086.93,-44.15
39360,2087.19,-42.37
39380,2087.5,-43.58
39400,2087.84,-43.74
39420,2088.1,-43.61
39440,2088.42,-41.92
39460,2088.7,-41.65
39480,2088.95,-44.66
39500,2089.21,-44.17
39520,2089.47,-44.32
39540,2089.75,-43.43
39560,2090.04,-42.24
39580,2090.3,-42.56
39600,2090.59,-41.71
39620,2090.85,-44.69
39640,2091.15,-43.47
39660,2091.39,-43.03
39680,2091.65,-42.35
39700,2091.94,-42.48
39720,2092.18,-43.06
39740,2092.46,-44.26
39760,2092.72,-42.15
39780,2092.97,-43.67
39800,2093.23,-42.32
39820,2093.49,-42.84
39840,2093.74,-44.11
39860,2094,-43.49
39880,2094.31,-43.54
39900,2094.64,-42.61
39920,2094.97,-42.21
39940,2095.27,-42.19
39960,2095.58,-42.19
39980,2095.92,-41.6
40000,2096.31,-40.85
40020,2096.73,-40.35
40040,2097.14,-40.83
40060,2097.56,-40.71
40080,2097.98,-40.5
40100,2098.4,-39.67
40120,2098.85,-40.59
40140,2099.25,-39.45
40160,2099.61,-40.84
40180,2099.97,-42.55
40200,2100.35,-43.72
40220,2100.68,-42.58
40240,2100.97,-42.09
40260,2101.28,-42.53
40280,2101.63,-42.07
40300,2101.93,-42.49
40320,2102.26,-42.12
40340,2102.6,-41.98
40360,2102.93,-42.4
40380,2103.28,-42.41
40400,2103.59,-41.76
40420,2103.87,-42.37
40440,2104.13,-42.28
40460,2104.43,-43
40480,2104.73,-42.07
40500,2105.04,-42.32
40520,2105.36,-41.79
40540,2105.67,-41.92
40560,2105.97,-42.41
40580,2106.26,-43.4
40600,2106.57,-43
40620,2106.89,-42.58
40640,2107.21,-45.42
40660,2107.54,-42.57
40680,2107.86,-42.49
40700,2108.16,-42.86
40720,2108.43,-44.29
40740,2108.81,-42.54
40760,2109.13,-44.53
40780,2109.4,-43.86
40800,2109.71,-43.19
40820,2110.05,-41.04
40840,2110.34,-42.59
40860,2110.69,-41.46
40880,2111.04,-42.63
40900,2111.37,-41.98
40920,2111.71,-42.35
40940,2112.04,-41.3
40960,2112.38,-42.16
40980,2112.78,-40.41
41000,2113.17,-41.18
41020,2113.62,-40.8
41040,2114.03,-39.59
41060,2114.42,-39.83
41080,2114.79,-40.35
41100,2115.2,-39.6
41120,2115.67,-39.22
41140,2116.07,-40.36
41160,2116.57,-39.7
41180,2117.01,-41.25
41200,2117.49,-39.25
41220,2117.94,-39.36
41240,2118.39,-40.13
41260,2118.92,-39.84
41280,2119.42,-39.94
41300,2119.93,-38.34
41320,2120.41,-39.47
41340,2120.91,-39.41
41360,2121.4,-39.97
41380,2121.89,-38.94
41400,2122.45,-38.82
41420,2123.02,-38.56
41440,2123.6,-38.36
41460,2124.03,-39.79
41480,2124.45,-41.75
41500,2124.72,-43.22
41520,2125.02,-42.27
41540,2125.35,-41.32
41560,2125.67,-43.49
41580,2125.95,-42.76
41600,2126.21,-42.71
41620,2126.48,-41.75
41640,2126.79,-42.31
41660,2127.06,-41.7
41680,2127.35,-43.61
41700,2127.64,-42.91
41720,2127.94,-41.92
41740,2128.2,-41.67
41760,2128.48,-43.75
