Age (kyrs),Amphycoryna cff. scalaris,Anomalina sp. 1,Astacolus sp.,Astrononion sp.,Bolivina cff. spathulata ,Bolivina subaenariensis var. mexicana,Bolivina spp.,Brizalina alata,Bulimina spp.,Cancris auriculus,Cassidulina teretis/laevigata,Chilostomella oolina,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides sp.,Cibicidoides wuellerstorfi,Cornuspira spp.,Cribroelphidium cff. williamsoni,Cushmanina plumigera,Cushmanina sp.,Dentalina mutabilis,Dentalina sp.,Elphidium macellum,Epistominella exigua,Evolvocassidulina bradyi ,Favulina hexagona,Fissurina spp.,Fursenkoina complanata,Fursenkoina sp.,Glandulina spp.,Globobulimina spp.,Globocassidulina sp.,Grigelis pyrula,Hansenisca soldanii ,Hanzawaia boueana,Heterolepa bradyi,Hoeglundina elegans,Hyalinea balthica,Hyalinonetrion gracillimum,Laevidentalina spp.,Lagena spp.,Lenticulina spp.,Lobatula lobatula,Marginulina sp.,Melonis barleeanus ,Milliolinella circularis/valvularis,Neolenticulina variabilis,Nodosaria cff. vertabralis,Nonion fabum,Nonionella turgida/pulchella,Nonionina sp.,Oolina cff. globosa,Oridorsalis umbonatus,Osangularia culter,Planularia magnifica,Planulina arimenensis,Pseudonodosaria sp.,Pseudopyrgo millettii ,Pullenia bulloides / quinqueloba,Pyrgoella sphaera,Pyrgo spp.,Quinqueloculina spp.,Rectuvigerina cff. elongatastriata,Robertinoides bradyi ,Rutherfordoides rotundatus,Saracenaria spp.,Sigmoilopsis schlumbergeri,Sphaeroidna bulloides,Spiroloculina depressa,Spiroplectinella spp. wrighti ,Spirosigmoilina tenuis,Trifarina angulosa,Trifarina sp.,Triloculina spp.,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Vaginulina spp.,"Virgulina subquamosa sensu Bradyi, 1884",Agglutinated Foraminifera
0.18,,,,,22,,4,,8,,22,18,,11,5,,,0,,,,,,,2,,,1,,,1,20,,,,,,1,,1,1,2,1,2,,,0,,,13,3,,,2,,,10,,,3,,0,0,4,,,0,1,7,,,,,,0,1,48,0,0,15,11
0.76,,,,,24,,2,,5,1,23,6,,8,7,,,0,1,,,,,,3,,,0,,,3,13,,,,,,,,,1,2,0,2,,4,0,,,6,7,,,1,1,,9,,,2,,0,0,,,,0,,13,,,,,,0,8,39,0,0,10,8
1.61,,,,,27,4,0,,1,,31,8,,13,6,,,0,,,,,,,5,,,0,,,1,10,,,,,,,,3,0,1,0,2,,,0,,,5,5,,,1,,,10,,,0,,0,0,1,,,0,1,12,,,,,,0,4,30,0,1,12,7
2.39,,,,,23,8,0,,5,,16,12,,22,2,,,0,,,,,,,,,,3,,,1,9,,1,,,,,,1,0,0,1,2,,,0,1,,3,1,,,,1,,2,,,1,,0,0,,,,0,4,30,,,,,,0,8,47,0,0,5,8
3.12,,,,,22,1,1,,3,1,21,13,,40,1,,,0,,,,,,,,,,0,,,0,7,,,,,2,3,,,0,0,2,,,2,0,,,2,1,,,,1,,3,,,5,,0,0,1,,,0,3,40,,,,,,0,21,19,0,0,4,1
4.08,,,,,43,,0,,8,,31,7,,53,4,,,0,,,,,,,1,,,0,,,1,4,,,,,3,1,,,0,0,0,1,,8,0,,,1,1,,,3,,,6,,,6,,0,0,,,,0,2,16,,,,,1,0,16,14,0,0,6,5
5.02,,,,,27,,0,,7,4,14,3,,52,2,,,0,,,,,,,,,,2,,,0,3,,,,,3,7,,,0,1,4,,,4,0,1,,,1,,,2,,,2,,,2,,0,0,,,,0,9,33,,,,,,0,25,6,1,0,3,3
5.59,,,,,34,,0,,9,1,16,5,,33,4,,1,0,,,,,,,4,,,0,,,0,3,,,,,1,6,,,1,0,1,,,4,0,1,,,4,,,1,,,4,,,1,,0,0,,,,0,5,50,,,,,,0,22,18,0,0,,2
5.88,,,,,33,,0,,7,2,6,10,,25,7,,,0,,,,,,,1,,,0,,,0,1,,1,,,4,,,2,1,2,1,3,,2,0,1,,,2,,,3,,,2,,,1,,0,0,,,,0,4,56,,,,,,0,26,26,0,0,1,1
6.20,,,,,29,,0,,5,4,4,10,,25,2,,2,0,,,,,,,1,,,1,,,3,2,,,,,3,10,,1,0,2,1,3,,7,0,2,,,4,,,,1,,2,,,1,,0,0,,,,0,6,32,,,1,,,0,24,9,1,0,,2
6.52,,,,,38,,0,,0,3,1,7,,30,4,2,1,0,,,,,,,3,,,1,,,0,10,,,1,,5,6,,,0,0,1,4,,9,0,1,,,2,,,1,1,,2,,,1,,0,0,1,,,0,7,23,1,,3,,,0,44,7,0,0,,2
6.83,,,,,54,,0,,1,6,1,6,,28,,,6,0,,,,,,,1,,,0,,,0,5,,,2,,2,2,,1,0,0,2,,,19,0,2,,,,,,3,,1,1,,,0,,0,0,,,,0,8,17,,,1,,,0,36,1,2,0,,5
7.12,,1,,,32,,0,,3,3,2,5,,15,1,,,0,,,,,,,1,,,0,,,0,8,,,3,,10,4,,,0,2,0,6,,10,0,,,,,,,6,,,6,,,4,,0,0,,,,0,10,35,,,,,,0,31,10,0,0,,4
7.50,,1,,,32,1,0,,7,3,0,8,,20,18,,,0,,1,,,,,5,,,0,,,0,14,1,,1,2,7,1,,,1,1,2,7,1,18,0,1,,,1,,,3,1,,10,,,3,,0,0,,,,0,10,11,4,,2,,,0,2,14,4,0,1,3
8.01,,,,,35,3,0,,2,5,2,2,,13,8,,3,0,,,,,,,5,,,0,,,0,19,,1,3,,,,,,1,0,2,8,,15,0,8,,2,,,,3,2,,15,,,0,,0,0,,,,0,6,13,2,,2,1,,0,6,27,2,0,,3
8.49,,,,,62,2,3,1,6,4,4,4,,10,10,,6,0,,,1,,1,,6,,,3,1,,1,5,,,2,4,,1,,,0,0,0,3,,21,0,2,,1,1,,,,,,17,,,1,,0,0,1,,,0,3,12,2,,1,1,2,0,10,14,0,0,,10
8.98,,1,,,35,,0,,1,1,1,16,,15,14,,9,0,,1,,,,,6,,,4,,,0,12,,,3,2,,,,,1,2,3,1,,24,0,6,,,,,,2,,,15,,,4,,0,0,,,,2,6,13,1,,2,,,0,5,10,0,0,,7
9.52,,,,,36,2,1,,2,4,1,3,,19,8,,11,0,,,,,,,3,,,1,,,1,10,,1,1,,,,,,1,4,0,1,,22,0,7,,,2,,,4,,,16,1,,2,,0,0,1,,,0,13,16,1,,1,,,0,11,7,3,0,,3
10.00,2,,,,32,1,0,,1,1,7,12,,22,20,,9,0,,,,,,,3,1,,4,,,0,7,,,3,,,,,,1,2,1,,,15,0,4,,,1,,,3,,,25,,,4,,2,0,1,,,0,1,15,7,,,,,0,5,9,0,0,,8
10.45,,,,,30,2,3,,3,4,3,26,,10,16,,4,0,,,,,,,4,3,,3,,1,0,22,,,2,6,,,1,,0,5,2,3,,13,0,7,,,3,,,1,,,23,,,3,,0,0,3,1,,0,3,9,3,,,,1,1,7,7,3,0,,11
10.82,1,,,,20,2,0,,1,2,7,19,,10,29,,,0,,,,,,,3,2,,2,,,2,20,,,,4,,,,1,0,5,1,,,8,0,,,4,8,,,6,,,10,,,3,,1,0,2,,,1,3,21,1,,1,1,1,0,1,3,1,2,,5
10.99,,,,,23,3,3,1,1,,7,8,,45,36,,5,0,,,,,,,5,,,0,,,3,12,,,3,3,,,,1,1,2,0,,,6,0,3,,4,5,,,4,,,22,,,0,,0,0,,,,0,,17,,,3,2,2,0,,4,0,0,4,6
11.15,,,,,17,5,3,1,0,,5,9,,53,28,,9,0,,1,,,,,3,,1,2,,,5,12,,,,1,,,,,0,5,1,,,6,0,4,,2,7,,,6,,,13,,,1,,1,0,4,,,0,,25,1,,1,,,0,,,0,0,2,5
11.31,,,2,,9,,3,1,0,1,6,15,,47,38,,3,0,,,,,,,2,,,6,,,3,9,,,2,4,,,,,0,7,1,,,5,0,9,1,5,9,,,6,,,28,,,0,,0,1,1,,,0,,15,,,3,,,0,,4,0,0,,6
11.47,1,2,,,27,1,0,2,0,3,2,17,,43,27,,1,0,,,,,,,2,,,2,,,2,17,,,2,,,5,,,1,3,2,,,10,1,12,,4,2,,,4,,,14,,,0,,1,1,,,,0,2,9,,,,,1,1,7,8,0,2,2,3
11.63,,2,2,,14,4,0,,0,6,0,17,,36,30,,7,0,,,,,,,3,,,2,,,3,8,,,,3,,,,,1,1,2,,,7,0,9,,,,,,11,,,30,,,0,,0,7,1,1,,0,1,11,,,1,,1,0,,3,0,0,5,1
11.79,,,,,27,1,16,,0,3,8,28,,12,23,,3,0,,,,,,,,1,2,4,,,0,14,,,4,6,,1,,,2,10,4,3,,6,0,6,,1,8,,,4,,,15,,,5,,0,0,4,,,0,,19,3,,4,,,0,1,4,0,0,,4
11.94,1,2,1,,17,4,4,,1,,6,8,,13,37,,2,0,,,,,,,,,,0,,,1,8,,,2,5,,,,,0,3,5,,,15,0,12,,2,4,,1,12,,,27,,,3,,1,11,,3,,1,,4,1,,3,,1,4,,7,0,0,,6
12.08,,,,,13,1,1,1,1,,12,9,,4,34,,3,0,,,,,,,3,2,,4,,,1,13,,,,,,,,,1,4,2,,,28,1,7,,2,6,,,4,,,31,,,0,,1,6,,1,,0,,,,,1,1,2,1,,9,0,0,2,1
12.20,,1,,,5,3,1,1,1,1,4,3,,40,41,,4,0,,,,,,,2,2,,3,,,0,11,,,1,3,,,1,,2,3,1,,,16,3,6,,1,2,,,11,,,38,,,0,1,1,6,1,4,,0,,2,,,,1,,0,,8,0,0,1,2
12.31,,,,,11,1,1,,1,1,9,20,,4,26,,3,0,,,,,,,2,2,,3,1,,0,6,1,,,1,,,,,1,8,2,,,32,0,8,,1,5,,,10,,,25,,,1,,1,4,,,,0,,1,2,,,,,2,,6,0,0,,0
12.42,,,,,,,0,,0,,0,,,,,,,0,,,,,,,,,,0,,,0,0,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,0,,0,0,,,,0,,,,,,,,0,,,0,0,,0
12.53,,,,,17,3,9,1,1,,10,8,,1,25,,3,0,,,,,,,3,,2,2,,,0,13,,,,,,,,,0,7,1,,,33,2,6,,,,,1,9,,,18,,,0,,1,7,,1,,1,,,1,,,1,3,0,,8,0,0,,2
12.64,,,,,11,3,1,1,0,,5,25,,1,29,,3,0,,,1,,,,11,2,,5,,,2,15,,1,,6,,,,,0,9,0,,,26,7,13,,1,10,,,14,,,14,,,1,,1,4,1,2,,0,1,1,1,,,,,0,,16,0,0,1,8
12.75,,,,,12,2,2,,1,,0,28,,,26,,5,0,,,,,,,2,,,2,,,1,13,,1,,2,1,,,,1,4,2,,,26,0,10,,1,4,,,16,,,20,,,0,5,4,15,1,2,,0,1,2,1,,,,,4,1,16,0,0,,6
12.86,1,,,,8,2,2,1,0,,6,23,,1,28,,6,0,1,,,,,,2,,,3,,,1,0,,,,5,,,,,0,4,3,,,12,2,2,,5,5,,,14,,,28,,,0,1,1,7,,1,,0,4,1,,,,,,0,2,17,0,0,1,7
12.97,1,,,,13,,0,,3,1,2,18,,6,28,,6,0,,,,,,,3,,1,1,,,2,11,,2,,4,,,,,0,8,1,,,32,0,3,,2,6,,,12,,,18,,,2,,5,7,2,,,0,1,5,1,,2,2,1,0,,17,0,1,1,8
13.08,,,,,8,,0,2,2,1,4,18,,3,29,,2,0,,,,,,,5,,,3,,,2,12,,,,1,,,,,0,2,0,,,14,2,3,,3,32,,,35,,,21,,,0,2,12,8,2,,,0,4,3,1,,,,,5,7,12,1,0,2,13
13.18,1,,,,9,2,1,,3,,2,20,,,20,,,0,1,,,,,,11,,1,1,,,4,15,,,,1,,,,,0,2,1,2,,13,0,4,,13,14,,,33,,,15,,,0,,5,4,1,,,0,3,13,,,1,,,2,2,18,0,0,3,4
13.29,1,,,,5,1,3,,2,,5,51,,2,13,,,0,,1,,,,,4,,,5,,,2,22,,,,,,,,2,3,4,0,3,,3,0,,,12,60,,,46,,,13,,,1,,5,2,1,,,0,,6,1,,,,,0,3,20,0,0,5,0
13.49,,,,,1,1,2,,3,,2,13,,1,19,,1,0,,,,,,,4,,1,4,,,4,27,,,,1,,,,,0,8,1,,,1,0,,,13,25,,,51,,,23,,,0,,9,0,7,,,0,1,1,1,,,,,1,3,9,0,1,2,5
13.72,,,,,,,2,,2,,3,9,,1,16,,,0,,1,,,,,1,,,4,,,5,19,,,,,,,,,0,6,0,,,3,0,,,17,51,,,88,,,26,,,0,,4,2,4,,,0,2,1,,,,,,0,1,4,0,0,3,1
13.95,,,,,1,2,1,,2,,2,9,,,27,,,0,,,,,,,1,,,3,,,6,20,,,1,2,,,,3,1,6,0,4,,1,0,5,,7,48,,,54,,,23,,,1,,8,6,4,,,0,1,2,,,1,,,0,2,,0,0,,0
14.18,,,,,1,4,0,,3,,3,20,,,24,,,0,,1,,,,,4,,,3,,,6,26,,,,5,,1,,,0,3,0,3,,2,1,1,,4,58,,,40,,,25,,,1,,5,5,5,1,,0,2,1,3,,,,,1,,8,0,0,2,1
14.41,,,,,6,4,2,1,1,,14,4,,2,10,,4,0,,,,,,,1,,,1,,,4,15,,,,,,,,,0,4,0,,,2,1,,,4,101,,,17,1,,18,,,0,,5,4,4,,,0,2,3,,,1,,,0,7,14,0,0,6,0
14.62,1,,,,2,1,2,,1,,2,20,,,15,,2,1,,1,,,,,,1,,0,,,3,20,,,,,,,,,0,2,1,1,,5,11,3,,,28,,,8,,,17,,,1,,10,15,1,,,0,1,,,,,,,2,13,9,0,0,1,3
14.82,1,,,,1,,0,2,0,,2,5,,,20,,1,1,,,,,,,1,,,4,,,0,11,,,,,,1,,,0,5,2,,,8,21,2,,,4,,,13,,,26,,,0,3,14,19,,,,0,2,5,,,,1,,7,24,10,0,0,,3
